id,Reviews,clean_text,tokens
164,很好吸收，遮瑕不适合，但是隔离效果，挺好的，保湿度，一般般，,很好吸收 遮瑕不适合 但是隔离效果 挺好的 保湿度 一般般,很好吸收 遮瑕 不适合 隔离效果 挺好的 保湿度 一般般
165,东西很好用哦,东西很好用哦,东西 很好用
166,慢慢的一箱子。哈哈，太赞了,慢慢的一箱子 哈哈 太赞了,慢慢 一 箱子 哈哈 太赞了
167,不错的面膜，还是买一赠一，用完还会再来购买！！！不错的一次购物！！,不错的面膜 还是买一赠一 用完还会再来购买 不错的一次购物,不错的 面膜 还是 买 一赠 一 用 完 还 会 来 购买 不错的 一次 购物
168,**送货超级快！还没用！是正品！以后还会购买的！,某品牌 送货超级快 还没用 是正品 以后还会购买的,某品牌 送货 超级快 还 没用 是正品 以后 还会 购买
169,喜欢，喜欢，用完皮肤很润，也很好吸收，一直在这里买！,喜欢 喜欢 用完皮肤很润 也很好吸收 一直在这里买,喜欢 喜欢 用 完 皮肤 很润 很好吸收 一直 这里 买
170,包装很好，面膜还可以吧！帮老妈买的。,包装很好 面膜还可以吧 帮老妈买的,包装 很好 面膜 还可以吧 帮 老妈 买
171,效果不错，下次在给我媳妇买。,效果不错 下次在给我媳妇买,效果 不错 下次 媳妇 买
172,很棒，买一送一，,很棒 买一送一,很棒 买一送一
173,质量好，升级版不干燥。给个五星好评吧。,质量好 升级版不干燥 给个五星好评吧,质量 好 升级版 不干燥 五星好评
174,根本卸不干净，脸上还有点痒,根本卸不干净 脸上还有点痒,根本 卸不干净 脸上 还 有点痒
175,防晒效果：还没有使用，囤货试试看,防晒效果 还没有使用 囤货试试看,防晒效果 还 没有 使用 囤货 试试看
176,上次买BB霜卖家送了两张面膜，觉得蛮好用的，就买了一些,上次买BB霜卖家送了两张面膜 觉得蛮好用的 就买了一些,上次 买 BB霜 卖家 送 两张 面膜 觉得 蛮好用的 买 一些
177,一直用的***，比较清爽，喜欢,一直用的 某品牌 比较清爽 喜欢,一直用 某品牌 比较清爽 喜欢
178,颜色好看，服务态度很好。物流快速。希望好用，下次再买。。。,颜色好看 服务态度很好 物流快速 希望好用 下次再买,颜色 好看 服务态度 很好 物流 快速 希望 好用 下次 买
179,还没有用，用过之后再来评价，信赖的**，一直很棒。。。。,还没有用 用过之后再来评价 信赖的 某品牌 一直很棒,还 没有 用 用过 之后 来 评价 信赖 某品牌 一直 很棒
180,看起来不错,看起来不错,看起来不错
181,朋友给推荐的，很好用，隔离效果不错,朋友给推荐的 很好用 隔离效果不错,朋友 推荐 很好用 隔离效果 不错
182,蛮不错的，期待已久，看有活动秒下单?,蛮不错的 期待已久 看有活动秒下单,蛮不错的 期待已久 看 有 活动 秒 下单
183,很不错，清澈,很不错 清澈,很不错 清澈
184,大姐让我帮着买的，我自己也在用，擦在脸上很自然，和皮肤很贴，脸也显得有光泽，很好！,大姐让我帮着买的 我自己也在用 擦在脸上很自然 和皮肤很贴 脸也显得有光泽 很好,大姐 帮 买 用 擦 脸上 很自然 皮肤 很贴 脸 显得 有光泽 很好
185,新包装样式也很喜欢,新包装样式也很喜欢,新包装样式 很喜欢
186,双十一很划算，物流也很给力,双十一很划算 物流也很给力,双十一 很划算 物流 很给力
187,非常不错，老客户了，他家保湿真的好，我还是容易过敏的皮肤，用他家的没事,非常不错 老客户了 他家保湿真的好 我还是容易过敏的皮肤 用他家的没事,非常不错 老客户 他家 保湿 真的好 还是 容易 过敏 皮肤 用 他家 没事
188,卖家服务态度很好，宝贝很不错 物流也很快,卖家服务态度很好 宝贝很不错 物流也很快,卖家服务态度 很好 宝贝 很不错 物流 很快
189,喜欢喜欢 特别补水 真的很耐斯～,喜欢喜欢 特别补水 真的很耐斯,喜欢喜欢 特别补水 真的很耐斯
190,还么用，看着不错，期待效果，物流超级给力！,还么用 看着不错 期待效果 物流超级给力,还 用 看着 不错 期待 效果 物流 超级给力
191,感觉不错，下次买其他的试试?,感觉不错 下次买其他的试试,感觉不错 下次 买 其他 试试
192,特别喜欢这个新包装的，很方便啦，一直用***的产品，这个卸妆水，用完不紧绷，很保湿的，继续支持,特别喜欢这个新包装的 很方便啦 一直用 某品牌 的产品 这个卸妆水 用完不紧绷 很保湿的 继续支持,特别喜欢 新包装 很方便 一直用 某品牌 产品 卸妆水 用 完 不紧绷 很保湿 继续 支持
193,不油腻，卸妆也很干净，双11活动买的，很划算,不油腻 卸妆也很干净 双11活动买的 很划算,不油腻 卸妆 很干净 双11 活动 买 很划算
194,一如既往的好用，忘记是第几次买了。,一如既往的好用 忘记是第几次买了,一如既往的好 用 忘记 第几次 买
195,面膜很好用，**平台有保障，很补水，效果不错的。,面膜很好用 某品牌 平台有保障 很补水 效果不错的,面膜 很好用 某品牌 平台 有 保障 很补水 效果 不错的
196,不错，下次再来,不错 下次再来,不错 下次 来
197,用起来了还可以，好评！,用起来了还可以 好评,用 起来 还可以 好评
198,好用实惠，好用，值得购买，,好用实惠 好用 值得购买,好用 实惠 好用 值得 购买
199,这次的面膜用着过敏了！一直都在用这个牌子！不知道为什么会过敏！,这次的面膜用着过敏了 一直都在用这个牌子 不知道为什么会过敏,这次 面膜 用 过敏了 一直 用 牌子 不 知道 为什么 会 过敏
200,用了，效果很好，白皙水嫩擦后脸上没有干粉。好评,用了 效果很好 白皙水嫩擦后脸上没有干粉 好评,用 效果 很好 白皙 水嫩 擦 后 脸上 没有干粉 好评
201,洗面奶收到，今天用了，洗完后真的一点也不紧绷，超值了！,洗面奶收到 今天用了 洗完后真的一点也不紧绷 超值了,洗面奶 收到 今天 用 洗完 后 真的 一点也不紧绷 超值
202,每天需要化妆，买了很多卸妆水都不行。只有这款卸妆水很好用，清爽不刺激。,每天需要化妆 买了很多卸妆水都不行 只有这款卸妆水很好用 清爽不刺激,每天 需要 化妆 买 很多 卸妆水 不行 只有 款 卸妆水 很好用 清爽 不刺激
203,非常好用！！！特别补水，我干皮用着很不错,非常好用 特别补水 我干皮用着很不错,非常好用 特别补水 干皮 用 很不错
204,包装很高大尚！还没用，但看起来就很好。还送了化妆水，很喜欢！,包装很高大尚 还没用 但看起来就很好 还送了化妆水 很喜欢,包装 很高大尚 还 没用 看起来 很好 还 送 化妆水 很喜欢
205,收到马上试了一下，卸妆效果很好，很干净，但是不刺激皮肤，挺舒服的，脸也感觉滑滑的，很划算。,收到马上试了一下 卸妆效果很好 很干净 但是不刺激皮肤 挺舒服的 脸也感觉滑滑的 很划算,收到 马上 试 卸妆效果 很好 很干净 不 刺激皮肤 挺舒服的 脸 感觉 滑滑的 很划算
206,之前就用过这是第二次购买了！好用,之前就用过这是第二次购买了 好用,之前 用 第二次 购买 好用
207,很好用，喜欢哦,很好用 喜欢哦,很好用 喜欢
208,做了功课才来买的，成分很安全，用了一片后感觉效果不错，以后要常用啦,做了功课才来买的 成分很安全 用了一片后感觉效果不错 以后要常用啦,做 功课 来 买 成分 很安全 用 一片 后 感觉 效果 不错 以后 要 常用
209,拿回来用了几片，保温效果挺好的，第一次用皮肤也没有出现过敏现象。,拿回来用了几片 保温效果挺好的 第一次用皮肤也没有出现过敏现象,拿 回来 用 几片 保温效果 挺好的 第一次 用 皮肤 没有出现过敏 现象
210,赠品两贴，搜了一下9.9一贴，老价格来说应该不差,赠品两贴 搜了一下9 9一贴 老价格来说应该不差,赠品 两贴 搜 一贴 老 价格 来说 应该 不差
211,还没用，用后再来追加，看着不错??,还没用 用后再来追加 看着不错,还 没用 用后 来 追加 看着 不错
212,这个是第二次买了，活动买很划算的，面膜也很好用,这个是第二次买了 活动买很划算的 面膜也很好用,第二次 买 活动 买 很划算的 面膜 很好用
213,物美价廉，味道不错。下次活动在买,物美价廉 味道不错 下次活动在买,物美价廉 味道 不错 下次 活动 买
214,物流快当晚就用了一片精华液很多，敷完脸嫩嫩的，不错！,物流快当晚就用了一片精华液很多 敷完脸嫩嫩的 不错,物流 快 当晚 用 一片 精华液 很多 敷 完脸 嫩嫩的 不错
215,还是有点白！擦的 所以我就只擦这个. 不用再擦bb了,还是有点白 擦的 所以我就只擦这个 不用再擦bb了,还是 有点白 擦 只 擦 不用 擦 bb
216,超好用淡淡的香味还送了面膜喜欢的朋友赶快入手吧,超好用淡淡的香味还送了面膜喜欢的朋友赶快入手吧,超好用 淡淡的香味 还 送 面膜 喜欢的 朋友 赶快 入手
217,还没有用，等用过后再评价！包装太简陋了，连个像样的包装盒都没有！,还没有用 等用过后再评价 包装太简陋了 连个像样的包装盒都没有,还 没有 用 等 用 过后 评价 包装 太简陋了 连 像样 包装盒 都没有
218,不喜欢，感觉和洗头发的没有区别,不喜欢 感觉和洗头发的没有区别,不喜欢 感觉 洗头发 没有 区别
219,油,油,油
220,什么东西哦，太假了，忽悠人的哦，质量没有第一次买的好，这次购买是假货，太失望了。,什么东西哦 太假了 忽悠人的哦 质量没有第一次买的好 这次购买是假货 太失望了,东西 太假了 忽悠 人 质量 没有 第一次 买 好 这次 购买 是假货 太失望了
221,量大便宜，赞,量大便宜 赞,量大 便宜 赞
222,第一次敷 感觉不错 很水嫩还会购买,第一次敷 感觉不错 很水嫩还会购买,第一次 敷 感觉不错 很水嫩 还会 购买
223,不错，效果很好，速度很快,不错 效果很好 速度很快,不错 效果 很好 速度 很快
224,好用，值得购买，还有赠品，不错,好用 值得购买 还有赠品 不错,好用 值得 购买 还有 赠品 不错
225,一下买了两份，挺好的，敷完水水嫩嫩的,一下买了两份 挺好的 敷完水水嫩嫩的,买 两份 挺好的 敷 完 水水嫩嫩的
226,好快呀！昨天下午订货，今天上午就到了，足足六大盒,好快呀 昨天下午订货 今天上午就到了 足足六大盒,好快 昨天下午 订货 今天上午 到 足足 六大 盒
227,很实惠！精华液特别多，但是用后效果一般，感觉不是很好吸收,很实惠 精华液特别多 但是用后效果一般 感觉不是很好吸收,很实惠 精华液 特别多 用后 效果 一般 感觉 不是很好吸收
228,还没有上脸用 很小得一支 买之前看评论有送小样！收到之后什么赠品也没有 有点失望 总体来说还可以！！,还没有上脸用 很小得一支 买之前看评论有送小样 收到之后什么赠品也没有 有点失望 总体来说还可以,还 没有 上脸 用 很小 一支 买 之前 看 评论 有 送 小样 收到 之后 赠品 没有 有点失望 总体 来说 还可以
229,物流也快，实惠！物流也快，实惠！物流也快，实惠！物流也快，实惠！,物流也快 实惠 物流也快 实惠 物流也快 实惠 物流也快 实惠,物流 也快 实惠 物流 也快 实惠 物流 也快 实惠 物流 也快 实惠
230,暂时还没开始用，等我用了再追加吧，看着包装还是挺不错的。,暂时还没开始用 等我用了再追加吧 看着包装还是挺不错的,暂时 还 没 开始 用 等 用 追加 看着 包装 还是 挺不错的
231,趁活动囤的 冬天的面膜用的超费 不多长时间 面膜见底了,趁活动囤的 冬天的面膜用的超费 不多长时间 面膜见底了,趁 活动 囤 冬天 面膜 用 超费 不 多长时间 面膜 见底
